Region,C09-Work Indicator,C10-Job Indicator,"C11 - Location of Work (Province, Municipality)",C13-Major Occupation Group,C15-Major Industry Group,C16-Nature of Employment (Primary Occupation),C21-Class of Worker (Primary Occupation)
1,1,61,1,1,2,14,14
1,1,61,1,1,5,26,26
1,1,61,1,1,6,26,26
1,1,52,47,1,10,70,70
1,1,61,1,1,6,38,38
1,1,14,47,1,8,56,56
1,1,52,47,1,8,56,56
1,1,92,1,1,4,8,8
1,1,61,1,1,2,14,14
1,1,51,96,1,8,48,48
1,1,61,1,1,5,20,48
1,1,32,84,1,5,15,15
1,1,61,1,1,5,26,26
1,1,92,1,1,5,29,29
1,1,61,1,1,5,20,40
1,1,61,1,1,2,14,14
1,1,54,80,1,8,48,48
1,1,54,84,1,8,2,32
1,1,23,85,1,8,40,40
1,1,96,53,1,8,48,48
1,1,61,1,1,5,20,20
1,1,96,53,1,8,48,48
1,1,61,1,1,7,29,53
1,1,52,47,1,8,48,48
1,1,61,1,1,2,14,14
1,1,61,1,1,6,38,38
1,1,61,1,1,2,14,14
1,1,93,41,2,8,48,48
1,1,91,96,1,6,42,42
1,1,93,41,2,8,48,48
1,1,61,1,1,6,24,48
1,1,95,47,1,6,48,48
1,1,92,1,1,3,15,15
1,1,92,1,1,3,15,15
1,1,75,10,1,5,35,35
1,1,93,41,2,8,48,48
1,1,61,1,1,2,14,22
1,1,61,1,1,6,38,38
1,1,32,84,1,7,14,28
1,1,61,1,1,5,20,20
1,1,61,1,1,2,14,14
1,1,92,1,1,5,20,20
1,1,61,1,1,1,14,14
1,1,92,1,1,8,16,16
1,1,61,1,1,5,26,26
1,1,91,96,1,5,15,15
1,1,92,1,1,4,8,8
1,1,92,1,2,8,32,32
1,1,61,1,1,6,32,32
1,1,61,1,1,2,14,14
1,1,92,1,1,5,25,25
1,1,61,1,1,7,21,21
1,1,92,1,1,7,21,21
1,1,92,1,1,5,15,15
1,1,61,1,1,2,14,42
1,1,61,1,1,5,25,25
1,1,61,1,1,2,14,14
1,1,93,47,1,8,24,24
1,1,52,47,1,8,24,24
1,1,11,84,1,8,16,16
1,1,14,56,1,5,35,35
1,1,71,31,1,8,48,48
1,2,52,47,1,10,40,40
1,2,52,47,2,6,42,42
1,1,22,87,2,8,32,32
1,1,52,47,1,6,30,30
1,1,52,47,1,6,30,30
1,1,83,52,1,8,48,48
1,1,52,47,1,10,60,60
1,1,14,55,1,8,48,48
1,1,52,55,1,8,48,48
1,1,14,45,1,8,40,40
1,1,54,80,1,10,40,40
1,1,13,41,1,8,48,48
